Date,Portfolio A,Portfolio B
2015/9/16,1.355812509,1.334125697
2015/9/17,1.349119455,1.321969452
2015/9/18,1.341445765,1.327309928
2015/9/21,1.334979568,1.32128939
2015/9/22,1.346905363,1.327555901
2015/9/23,1.343427165,1.311650771
2015/9/24,1.321595483,1.291068589
2015/9/25,1.319748911,1.282221863
2015/9/28,1.324830058,1.279162184
2015/9/29,1.32496453,1.270550902
2015/9/30,1.347991745,1.284943459
2015/10/1,1.346988019,1.284800854
2015/10/2,1.355341245,1.282833939
2015/10/5,1.36995513,1.28039632
2015/10/6,1.349603302,1.255680422
2015/10/7,1.344633366,1.246275449
2015/10/8,1.381656357,1.282500179
2015/10/9,1.397040441,1.287156773
2015/10/12,1.400751686,1.294979544
2015/10/13,1.375585084,1.278660779
2015/10/14,1.380203397,1.278696376
2015/10/15,1.366500718,1.283819038
2015/10/16,1.391573994,1.309167744
2015/10/19,1.401791327,1.317860574
2015/10/20,1.423479292,1.328885113
2015/10/21,1.439997394,1.345510107
2015/10/22,1.406656723,1.310079891
2015/10/23,1.40244989,1.308626851
2015/10/26,1.438364337,1.341122662
2015/10/27,1.440040293,1.333194827
2015/10/28,1.444266638,1.346067845
2015/10/29,1.462854465,1.35848567
2015/10/30,1.496198751,1.398686526
2015/11/2,1.498097102,1.389295532
2015/11/3,1.481298401,1.371740534
2015/11/4,1.491646246,1.366048572
2015/11/5,1.481680709,1.358981049
2015/11/6,1.485883182,1.358699485
2015/11/9,1.480605618,1.365616736
2015/11/10,1.483245531,1.357537273
2015/11/11,1.473249612,1.338208752
2015/11/12,1.474561398,1.324069465
2015/11/13,1.455216676,1.301947098
2015/11/16,1.438148761,1.279993555
2015/11/17,1.472541709,1.316869507
2015/11/18,1.453200825,1.283174502
2015/11/19,1.463889109,1.284935951
2015/11/20,1.488405831,1.306035769
2015/11/23,1.469178071,1.284267624
2015/11/24,1.466692851,1.29460511
2015/11/25,1.467710101,1.296143211
2015/11/26,1.471587834,1.290748298
2015/11/27,1.481533766,1.296464104
2015/11/30,1.498322068,1.306963572
2015/12/1,1.516452714,1.321515637
2015/12/2,1.529681071,1.327116117
2015/12/3,1.524131019,1.326000779
2015/12/4,1.531997928,1.336744184
2015/12/7,1.523224321,1.310905222
2015/12/8,1.512293074,1.310057717
2015/12/9,1.512178299,1.303923765
2015/12/10,1.517255229,1.304940309
2015/12/11,1.49875711,1.295515955
2015/12/14,1.463615086,1.273368885
2015/12/15,1.476474033,1.273109082
2015/12/16,1.472779475,1.266923775
2015/12/17,1.439957532,1.240582341
2015/12/18,1.43784201,1.248797604
2015/12/21,1.444635386,1.242958286
2015/12/22,1.421476867,1.225783131
2015/12/23,1.418884342,1.213942703
2015/12/24,1.411345137,1.211808409
2015/12/25,1.41212087,1.211106296
2015/12/28,1.408830383,1.212328583
2015/12/29,1.413781543,1.211235732
2015/12/30,1.411241948,1.200663805
2015/12/31,1.426965562,1.209413625
2016/1/1,1.441106981,1.221650352
2016/1/4,1.445936021,1.235933242
2016/1/5,1.438613884,1.233548645
2016/1/6,1.41996566,1.226365193
2016/1/7,1.413512362,1.240382717
2016/1/8,1.419261383,1.241385574
2016/1/11,1.42613124,1.250555488
2016/1/12,1.429319394,1.247055594
2016/1/13,1.415378089,1.233468571
2016/1/14,1.393734067,1.223758715
2016/1/15,1.431379583,1.2476847
2016/1/18,1.469150133,1.270032685
2016/1/19,1.468557548,1.266114172
2016/1/20,1.446934392,1.243379484
2016/1/21,1.439564819,1.230933567
2016/1/22,1.407074879,1.210802959
2016/1/25,1.414118741,1.219150363
2016/1/26,1.393236662,1.204119524
2016/1/27,1.384749682,1.181121391
2016/1/28,1.394930266,1.189670934
2016/1/29,1.376038991,1.175013733
2016/2/1,1.39626349,1.198382155
2016/2/2,1.412362367,1.207794479
2016/2/3,1.407216697,1.194077575
2016/2/4,1.423000201,1.204478222
2016/2/5,1.417463585,1.189487599
2016/2/8,1.374598216,1.161947613
2016/2/9,1.361587665,1.145811788
2016/2/10,1.380692918,1.152466624
2016/2/11,1.390190125,1.15459636
2016/2/12,1.353521148,1.126875089
2016/2/15,1.370257953,1.134552217
2016/2/16,1.388549986,1.134220405
2016/2/17,1.411328277,1.145765082
2016/2/18,1.417159581,1.147354732
2016/2/19,1.423752339,1.147251475
2016/2/22,1.441566075,1.159909192
2016/2/23,1.457364452,1.177335427
2016/2/24,1.472847064,1.185662864
2016/2/25,1.459664737,1.180116955
2016/2/26,1.459819955,1.175527755
2016/2/29,1.455222692,1.17370923
2016/3/1,1.470660992,1.186766443
2016/3/2,1.470157485,1.183930823
2016/3/3,1.47171813,1.18535949
2016/3/4,1.499466393,1.216936004
2016/3/7,1.482454716,1.203457246
2016/3/8,1.508468239,1.214268319
2016/3/9,1.51727371,1.222866071
2016/3/10,1.493131798,1.219586343
2016/3/11,1.480798719,1.218679627
2016/3/14,1.469341698,1.209106107
2016/3/15,1.488403936,1.238704557
2016/3/16,1.472101208,1.212106086
2016/3/17,1.507425406,1.233206987
2016/3/18,1.509980904,1.232304955
2016/3/21,1.531015729,1.244456919
2016/3/22,1.526946029,1.231320301
2016/3/23,1.532020796,1.23936749
2016/3/24,1.543021825,1.253374978
2016/3/25,1.560679902,1.253030376
2016/3/28,1.565050334,1.256432702
2016/3/29,1.568692771,1.256420015
2016/3/30,1.588216328,1.283202496
2016/3/31,1.595963407,1.283267957
2016/4/1,1.604343757,1.27892543
2016/4/4,1.608311966,1.276787702
2016/4/5,1.59996205,1.275514735
2016/4/6,1.574133425,1.262059263
2016/4/7,1.584787941,1.271511169
2016/4/8,1.606194087,1.284674975
2016/4/11,1.621196199,1.299701072
2016/4/12,1.626325317,1.306023996
2016/4/13,1.602873143,1.291620661
2016/4/14,1.581661088,1.275321158
2016/4/15,1.577609714,1.25849127
2016/4/18,1.561547595,1.236523699
2016/4/19,1.573812787,1.234587771
2016/4/20,1.542707417,1.222847341
2016/4/21,1.556513826,1.222752711
2016/4/22,1.548965436,1.221354378
2016/4/25,1.533199292,1.212339872
2016/4/26,1.505407386,1.195143115
2016/4/27,1.509963904,1.198429781
2016/4/28,1.488409971,1.176349786
2016/4/29,1.460921742,1.165544851
2016/5/2,1.479737509,1.180257257
2016/5/3,1.508835261,1.196481356
2016/5/4,1.526140448,1.201905958
2016/5/5,1.575420901,1.219716722
2016/5/6,1.565011955,1.227228762
2016/5/9,1.576907843,1.226817678
2016/5/10,1.589620408,1.249961226
2016/5/11,1.580730909,1.244743702
2016/5/12,1.590962323,1.242678506
2016/5/13,1.580397559,1.241510828
2016/5/16,1.581423267,1.239856546
2016/5/17,1.608138882,1.244130615
2016/5/18,1.608893458,1.236125424
2016/5/19,1.635159125,1.253520443
2016/5/20,1.645103373,1.250621924
2016/5/23,1.666454408,1.275704363
2016/5/24,1.62005447,1.251517612
2016/5/25,1.612101106,1.241642099
2016/5/26,1.630451021,1.247078681
2016/5/27,1.625379726,1.242856722
2016/5/30,1.61448402,1.242261454
2016/5/31,1.595723113,1.213315103
2016/6/1,1.587022234,1.206530303
2016/6/2,1.598479647,1.220137999
2016/6/3,1.63733284,1.237487939
2016/6/6,1.633629222,1.237905681
2016/6/7,1.657602316,1.252513902
2016/6/8,1.653192036,1.240572163
2016/6/9,1.657409266,1.251232788
2016/6/10,1.674959992,1.255418057
2016/6/13,1.674887337,1.257709571
2016/6/14,1.667337581,1.252690745
2016/6/15,1.699522208,1.272246264
2016/6/16,1.703810176,1.260461609
2016/6/17,1.699967403,1.257539942
2016/6/20,1.66639828,1.241088425
2016/6/21,1.611536003,1.204682026
2016/6/22,1.604938942,1.197458548
2016/6/23,1.621113274,1.206891727
2016/6/24,1.5891539,1.194633685
2016/6/27,1.588267541,1.183924881
2016/6/28,1.565985106,1.166966324
2016/6/29,1.527400544,1.150907293
2016/6/30,1.526818514,1.154362317
2016/7/1,1.484313717,1.140464791
2016/7/4,1.491819982,1.146297911
2016/7/5,1.478957055,1.149828697
2016/7/6,1.488294211,1.162927778
2016/7/7,1.513829914,1.184327859
2016/7/8,1.519945549,1.192208856
2016/7/11,1.530535454,1.193672862
2016/7/12,1.533082064,1.181960376
2016/7/13,1.549541575,1.192272134
2016/7/14,1.541539454,1.189911634
2016/7/15,1.568842299,1.196907386
2016/7/18,1.568360353,1.193882859
2016/7/19,1.597119756,1.198268715
2016/7/20,1.615727487,1.225615535
2016/7/21,1.583250869,1.212527649
2016/7/22,1.564234583,1.193437376
2016/7/25,1.607783526,1.214848622
2016/7/26,1.612269681,1.210932414
2016/7/27,1.597366693,1.193140979
2016/7/28,1.61997256,1.201175258
2016/7/29,1.645822467,1.220077117
2016/8/1,1.650602687,1.210612762
2016/8/2,1.643346127,1.21489887
2016/8/3,1.677145167,1.22507088
2016/8/4,1.665234169,1.217157506
2016/8/5,1.628717739,1.205226685
2016/8/8,1.644249783,1.212425633
2016/8/9,1.627649085,1.190294859
2016/8/10,1.592511045,1.18661002
2016/8/11,1.627879342,1.198960705
2016/8/12,1.636497386,1.194298283
2016/8/15,1.662401747,1.200756488
2016/8/16,1.653080253,1.203444869
2016/8/17,1.662265645,1.210235415
2016/8/18,1.67185754,1.218431209
2016/8/19,1.68391437,1.230942445
2016/8/22,1.682525553,1.231762525
2016/8/23,1.686392416,1.247485253
2016/8/24,1.699935593,1.250510284
2016/8/25,1.69077673,1.228723012
2016/8/26,1.706387583,1.239846201
2016/8/29,1.687684167,1.228227381
2016/8/30,1.702900098,1.234656816
2016/8/31,1.736432379,1.244061857
2016/9/1,1.735954163,1.238564192
2016/9/2,1.712559046,1.221574833
2016/9/5,1.738208456,1.228818526
2016/9/6,1.757671598,1.24519483
2016/9/7,1.749216576,1.249184467
2016/9/8,1.702286528,1.234478543
2016/9/9,1.676944967,1.219491133
2016/9/12,1.660522883,1.207719901
2016/9/13,1.655029105,1.20253413
2016/9/14,1.683107314,1.215525938
2016/9/15,1.673170969,1.207485232
2016/9/16,1.638931206,1.196982172
2016/9/19,1.611700738,1.178719354
2016/9/20,1.62366152,1.19047575
2016/9/21,1.656669707,1.196556385
2016/9/22,1.651386073,1.197287786
2016/9/23,1.624081037,1.174714761
2016/9/26,1.597017488,1.160078734
2016/9/27,1.56119852,1.145322307
2016/9/28,1.549433439,1.142524087
2016/9/29,1.548728985,1.129257964
2016/9/30,1.547692688,1.137589919
2016/10/3,1.542243178,1.130894465
2016/10/4,1.553466581,1.141521511
2016/10/5,1.580098405,1.150766779
2016/10/6,1.563402984,1.143068255
2016/10/7,1.573281147,1.139236839
2016/10/10,1.58371952,1.143032097
2016/10/11,1.563486015,1.121248032
2016/10/12,1.54243605,1.123239635
2016/10/13,1.523126565,1.115871094
2016/10/14,1.515365132,1.102021657
2016/10/17,1.499446368,1.087395782
2016/10/18,1.508992861,1.09315544
2016/10/19,1.525075197,1.105356273
2016/10/20,1.503294365,1.098349284
2016/10/21,1.506526991,1.094145294
2016/10/24,1.506105054,1.08999996
2016/10/25,1.519025318,1.112877306
2016/10/26,1.500652342,1.096057657
2016/10/27,1.529965377,1.114712755
2016/10/28,1.519212817,1.109176765
2016/10/31,1.517886808,1.111986293
2016/11/1,1.520987022,1.124445271
2016/11/2,1.491798689,1.102747678
2016/11/3,1.521187775,1.109416302
2016/11/4,1.536699305,1.123606568
2016/11/7,1.517620307,1.115459039
2016/11/8,1.52194354,1.108373771
2016/11/9,1.515180734,1.114742614
2016/11/10,1.501762617,1.108080025
2016/11/11,1.473936814,1.095199352
2016/11/14,1.453716141,1.083271308
2016/11/15,1.482122102,1.093910051
2016/11/16,1.469422629,1.075867819
2016/11/17,1.48650496,1.077898503
2016/11/18,1.494722374,1.087126192
2016/11/21,1.47668454,1.076803218
2016/11/22,1.476589434,1.071730001
2016/11/23,1.464764963,1.053153117
2016/11/24,1.484463749,1.064937376
2016/11/25,1.467965546,1.066089692
2016/11/28,1.451885354,1.042266364
2016/11/29,1.454907565,1.046184799
2016/11/30,1.470808483,1.052857944
2016/12/1,1.474773736,1.057070934
2016/12/2,1.441282126,1.047951109
2016/12/5,1.445254843,1.048815617
2016/12/6,1.463845736,1.060950831
2016/12/7,1.477078947,1.061006007
2016/12/8,1.480039765,1.054843907
2016/12/9,1.484938804,1.052814536
2016/12/12,1.472322427,1.046402547
2016/12/13,1.485126273,1.038689786
2016/12/14,1.452936623,1.018976959
2016/12/15,1.473565922,1.024351761
2016/12/16,1.495130897,1.054388026
2016/12/19,1.488459272,1.063001088
2016/12/20,1.475576821,1.063771335
2016/12/21,1.49455531,1.070397021
2016/12/22,1.496095632,1.079959461
2016/12/23,1.506804531,1.080530983
2016/12/26,1.50339276,1.071211899
2016/12/27,1.522164861,1.067320222
2016/12/28,1.520886849,1.060357799
2016/12/29,1.542012214,1.084013371
2016/12/30,1.526345668,1.075690183
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
